切れる踏切と	断掉的平交道
ひとりでまだ君を探し続けてた	一个人还在继续寻找着你
隣にいた思い出を胸に抱いて	把在身旁的回忆抱在心中
さよならただ君が口にした言葉	再见只是你说的话
溢れた声 夢の中にいるように	溢出的声音像在梦中一样
この心の感傷	这颗心的感伤
紛れも無く本当なら	如果确实是真的
生はあると信じて	相信有生命
命の場所見つけられると	找到了生命的地方
どうして君の傍にいるだけでも	为什么只是在你身边
鋼鉄の愛は熱く揺れ動く	钢铁的爱在炽热的摇曳
忘れた名前をまた思い出して	再次想起遗忘的名字
どこかでもう一度呼べるように	为了在某个地方再次呼唤你
ひとりでただ君を求め続けてた	只是一个人一直在追求着你
隣にいた思い出を胸に抱いて	把在身旁的回忆抱在心中
さよならまだ君を愛していたのに	再见了明明还爱着你
溢れた涙ひと粒の輝きを	溢出的眼泪一颗光辉
ひとりでまだ君を探し続けてた	一个人还在继续寻找着你
隣にいた思い出を胸に抱いて	把在身旁的回忆抱在心中
さよならただ君が口にした言葉	再见只是你说的话
溢れた声 夢の中にいるように	溢出的声音像在梦中一样
どうって事ない	真要说也没什么事
あんたは男じゃない	你是个男生没错吧
私はあんたにとって女じゃない	对你而言我是女生也没有异议吧
そう思ってた	一直都是这么想
昔からずっと一緒にいるし	长久以来我俩一路并肩
ほとんど知ってる元カノ履歴	对我的一切都可以说是摸得一清二楚
あんたに何回話して話されたかな	有句话不懂你已经说过多少遍
うちらの現在好きなこの話	我们目前的状态挺好
あんたとなんて絶対ありえない	你的话绝对不可能
いつもの電話でそう話した	在我俩通话的时候总会提到
俺も願い下げだって	如此这般我也没必要多言
言ってたじゃん	既然你都已经这么说了
なのに今お互い目を	然而如今每当我们双目对视
逸らさないまま	总感觉有些透不过气
何かに気付いて何か言いたげだ	是注意到了什么 又是什么说出了口
でも今に始まった事じゃなかった	可我们也并没有因此得到任何进展
長い長い嘘をつくくらい	编织的谎言一天天地积攒着
お互い欲しくてたまらなかった	彼此想要实现的想法迟迟得不到解决
2人とも嘘つき	其实两个人都在撒谎
もうなっちゃいなよ正直に	也没有什么好躲藏的吧
もうなっちゃいなよ正直に	已经没有什么好躲藏的吧
もう大丈夫心配ないと	已经没有问题不要担心
泣きそうな私の側で	你来到快要哭泣的我的身旁
いつも変わらない笑顔で	带着永恒不变的笑容
ささやいてくれた	低声私语
まだ まだ まだ やれるよ	还有 还能 还可以 还有机会
だっていつでも輝いてる	你无论何时都闪耀着光芒
時には急ぎすぎて	有时步伐太匆忙
見失う事もあるよ仕方ない	就会有所迷失
ずっと見守っているからって笑顔で	你总是面带微笑着的望着我
いつものように抱きしめた	像以平时一样的拥抱我
あなたの笑顔に	你的笑容
何度助けられただろう	不知指引了我多少回
ありがとう ありがとう best friend	谢谢你 感谢你 我最好的朋友
こんなにたくさんの幸せ感じるときは 瞬間で	在这样的瞬间 感受着这无比幸福的时刻
ここにいるすべての仲間から最高のプレゼント	这是在场的朋友们送给我的最好的礼物
まだ まだ まだ やれるよ	还有 还能 还可以 还有机会
だっていつでもみんな側にいる	因为无论何时大家都会陪伴在我身旁
きっと今ここでやりとげられること	现在一定有能实现的梦想
どんなことも力に変わる	所有的一切都将成为我的动力
ずっと見守っているからって笑顔で	你总是面带微笑着的望着我
いつものように抱きしめた	像以平时一样的拥抱我
みんなの笑顔に何度助けられただろう	你的笑容 不知指引了我多少回
ありがとう ありがとう best friend	谢谢你 感谢你 我最好的朋友
とっておきの関係	这份珍藏着的友情
うらやましがられるような	招来了无数人的羡慕嫉妒恨
トモダチなんだ私たちは	感觉我们就是最好的朋友
小さな好奇心が	因小小的好奇心
大きなきっかけになる	从而得到了相识的契机
ほらねほらねあっという間に近づいてく	你看吧你看呢一眨眼的功夫就走到了一起
悩んで笑って	烦恼笑容对待
落ち込んでは上がって	情绪低落也会马上变好
みんなの感情	大家的感情要
もっともっとさらけ出して行こうよ	更多地更多地相互了解一直向前行吧
青春を駆け抜けろgo	让青春自由的奔跑go
一緒にgo手をつないで走れ	在一起go紧牵着手一同出发
たとえ転んだとしてもみんなで立ち上がればいいせーのっ	即使原地转圈停滞不前只要大家一起就能继续前进预备
大好きなこの瞬間ときをこの瞬間を	在最喜欢的这一瞬间时刻这一瞬间里
恥ずかしがらないで大声で叫ぼう	不要羞羞嗒嗒的大声一起喊出来
明日もずっと未来もずっと	不管是明天还是未来也都会
笑っていたいから	永远开心的在一起
このかけがえのない絆	这份无可替代的羁绊也
ずっと色あせたりしないね続いてく	将永远不会褪色 一直延续直到
キミが困ってたら	在你感到困扰之时
すぐ駆けつけられるような	我们就可以立刻来到你身边
トモダチなんだ私たちは	因为我们是最好的朋友呢
最初は他人同士	最初只是陌路人
ぶつかることもあったね	不时的争吵也是在所难免
今は今は隣にいるのが当たり前	现在现在理所当然的成为了朋友
凹んで忘れて	别扭也忘记吧
悔しくて楽しくて	后悔怨恨开心
みんなでいるとね	只要大家聚在一起
すごくすごくココロ自然に笑う	马上会立刻会发自内心展露笑容
青春の真ん中でgo	在青春的正中间go
一緒にgo階段を駆け上がれ	一起go登上楼梯的最高处吧
誰か踏み外してもみんなで１からはじめようせーのっ	如果有人走偏了大家就一起重新开始吧预备
大切なこの瞬間はこの瞬間は	这无比珍重的瞬间这样的瞬间
あっという間に過ぎてく	往往是在眨眼间就会流逝
振り返るまでは	在回顾过去之前
明日へもっと未来へもっと	向着明天与未来更多更多地
大胆に挑戰しようよ	大胆的去进行挑战
どんどん進めデュワデュワ	不断地前进吧
がんがん叫べデュワデュワ	大声地呼喊吧
さあさあ笑えデュワデュワ	来一起欢笑吧
思いがあふれて膨らんだ	思念从胸中溢出膨胀开来
私たちの青春輝いてる	我们的青春定在闪耀着
一度きりなってもったいない	只可惜我们的青春却只有一次
だからだから何度でも繰り返そう	所以呢所以啦无论几次都可以重复
最高のトモダチと	与我们最棒的朋友
一緒にステキな恋をして	一起追寻着最美好的恋爱
甘酸っぱくなる気持ち語り合おうよ	让大家畅聊自己酸甜苦辣的青春吧
青春を駆け抜けろgo	让青春自由的奔跑go
一緒にgo手をつないで走れ	在一起go紧牵着手一同出发
たとえ転んだとしてもみんなで立ち上がればいいせーのっ	即使原地转圈停滞不前只要大家一起就能继续前进预备
大好きなこの瞬間ときをこの瞬間を	在最喜欢的这一瞬间时刻这一瞬间里
恥ずかしがらないで大声で叫ぼう	不要羞羞嗒嗒的大声一起喊出来吧
明日もずっと未来もずっと	不管是明天还是未来也都会
笑っていたいから	永远开心的在一起
このかけがえのない絆	这份无可替代的羁绊也
ずっと色あせたりしないね永遠に	将一直延续下去 永远也不会褪色
とっておきの関係	这份珍藏着的友情
うらやましがられるような	招来了无数人的羡慕嫉妒恨
トモダチなんだ私たちは	感觉我们就是最好的朋友
小さな好奇心が	因小小的好奇心
大きなきっかけになる	从而得到了相识的契机
ほらねほらねあっという間に近づいてく	你看吧你看呢一眨眼的功夫就走到了一起
悩んで笑って	烦恼笑容对待
落ち込んでは上がって	情绪低落也会马上变好
みんなの感情	大家的感情要
もっともっとさらけ出して行こうよ	更多地更多地相互了解一直向前行吧
青春を駆け抜けろgo	让青春自由的奔跑go
一緒にgo手をつないで走れ	在一起go紧牵着手一同出发
たとえ転んだとしてもみんなで立ち上がればいいせーのっ	即使原地转圈停滞不前只要大家一起就能继续前进预ー备
大好きなこの瞬間ときをこの瞬間を	在最喜欢的这一瞬间时刻这一瞬间里
恥ずかしがらないで大声で叫ぼう	不要羞羞嗒嗒的大声一起喊出来吧
明日もずっと未来もずっと	不管是明天还是未来也都会
笑っていたいから	永远开心的在一起
